vocab.size = 25911
batch_acm 24399, loss 2.852, acc 0.428, nll 2.853, ppl 9.864, x_acm 487732, lr 0.000231
batch_acm 24499, loss 2.873, acc 0.421, nll 2.873, ppl 9.676, x_acm 489732, lr 0.000231
batch_acm 24599, loss 2.921, acc 0.417, nll 2.921, ppl 9.947, x_acm 491732, lr 0.000230
batch_acm 24699, loss 2.922, acc 0.420, nll 2.922, ppl 10.037, x_acm 493732, lr 0.000230
batch_acm 24799, loss 2.879, acc 0.422, nll 2.879, ppl 9.648, x_acm 495732, lr 0.000229
batch_acm 24899, loss 2.847, acc 0.425, nll 2.847, ppl 9.448, x_acm 497732, lr 0.000229
batch_acm 24999, loss 2.853, acc 0.425, nll 2.853, ppl 9.618, x_acm 499732, lr 0.000228
batch_acm 25099, loss 2.853, acc 0.427, nll 2.853, ppl 9.588, x_acm 501732, lr 0.000228
batch_acm 25199, loss 2.915, acc 0.420, nll 2.903, ppl 9.978, x_acm 503714, lr 0.000227
batch_acm 25299, loss 2.841, acc 0.432, nll 2.841, ppl 9.674, x_acm 505714, lr 0.000227
batch_acm 25399, loss 2.819, acc 0.437, nll 2.819, ppl 9.667, x_acm 507714, lr 0.000226
batch_acm 25499, loss 2.714, acc 0.446, nll 2.714, ppl 8.804, x_acm 509714, lr 0.000226
batch_acm 25599, loss 2.755, acc 0.444, nll 2.755, ppl 9.310, x_acm 511714, lr 0.000226
